text,link,description
Platinum Edge SuperCard,rbl-bank-platinum-edge-supercard,Easy and quick finance for your daily needs The Bajaj Finserv RBL Bank Platinum Edge SuperCard is a credit card which takes care of your everyday credit requirements Enjoy tons of benefits on your online and offline shopping travel booking online grocery shopping and fuel purchases Get reward points on annual spends discounts lounge access online spend based reward points Also get a special welcome gift on your premier spend Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard Get a bonus of  reward points as a welcome gift on spending  within  days Upgrade to your own Platinum Edge SuperCard by paying a joining fee of Rs  Plus GST  an annual fee of Rs  Plus GST Also annual fee gets waived off on spends of up to Rs  Lakh and above Get  reward points on an annual spends of Rs  Lakh Additional  reward points redeemable on every Rs  Lakh annual spends Get  movie ticket up to Rs  on BookMyShow  once a month any day of the month Enjoy benefit of  complementary domestic airport lounge access in a year  per quarter Get  reward point on every Rs  spend on regular expenses Get  reward points on every  online spends up to  reward points Get X reward points on all online spends except for online purchases made on Education Insurance Utilities including BillsPay and Wallet Load Maximum cap  reward points Fill your vehicle with fuel across any pump and get fuel surcharge waiver up to Rs  per month Total benefits per annum Rs Tap your card to make fast and hasslefree transactions of up to Rs Use the tap and pay feature to make payments up to Rs  at a time All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance you can reach us via the RBL helpline at the below number if you are using your mobile phone prefix your citys STD code to the number You can also email us at A The oneofitskind card in the industry not only takes care of your dailymonthly credit needs but also helps you in emergency cash requirements EMI finance options discountscashback on various categories and many other offerings You can experience the power of  cards in  with the SuperCard A SuperCard not only comes with the regular features offered by credit cards but also offers features like A In times of an emergency other bank credit cards offer cash withdrawals with a lot of fees and interest With SuperCard you can easily withdraw cash from ATM for up to  days at no interest and a flat  processing fee The amount that you can withdraw will be dependent on bank policies A SuperCard offers a unique feature where incase of urgent cash requirement you can request for an emergency loan by converting your cash limit into a loan for up to  months at no interest and only flat  processing fee You can avail of a loan under this offer once a year and the amount that you can convert is dependent on bank policies You must return the amount in  equals monthly instalments A SuperCard comes with a feature called InControl where the security of your SuperCard will be in your control You can control the use of your card through the mobile app too A You will receive offers and benefits at Bajaj Finserv partner stores like No Cost EMI option pay with reward points You can also enjoy cashback offers discounts and much more on your regular online and offline purchases as well A Cardmembers get a welcome gift voucher worth Rs   cashback on grocery spends along with the industry st features Gift voucher worth Rs  on spending Rs  in a year Assuming spend of Rs  Gift Voucher worth Rs A The card is known as SuperCard because of the super features available in it This is oneofitskind card in the industry which not only takes care of your dailymonthly credit needs but also helps you in emergency cash requirements EMI finance options discountscashbacks on various categories rewards on every transaction and many other offerings A SuperCard not only comes with the regular features offered by credit cards but also offers features like A In times of an emergency other bank credit cards offer cash withdrawals with a lot of fee and interest With SuperCard you can easily withdraw cash from ATM for up to  days at no interest charges and a flat  processing fee The amount that you can withdraw will be dependent on bank policies A SuperCard offers a unique feature where in case of urgent cash requirementcash crunchyou can request for emergency loan by converting your Cash limit into loan up to  months at no interest and only flat  processing fee You can avail loan under this offer once a year and the amount that you can convert is dependent on bank policies You have to return the amount in  equal monthly instalments A SuperCard comes with a feature called 'InControl' where the security of your SuperCard will be in your control You can control the use of your card through the RBL MyCard app too A You will receive super benefits at Bajaj Finserv Limited partners like No Cost EMI option on all your purchases A If you have any other query call us at   or email us at and well be glad to assist you          
Freedom SuperCard,rbl-bank-freedom-supercard,The Bajaj Finserv RBL Bank Freedom SuperCard is a unique offering mainly because it gives you the power to choose your credit card limit To avail this card all you need to do is book a fixed deposit worth Rs  or more This way  of the amount booked as the FD will be approved as the credit limit on the Freedom SuperCard You also get additional benefits like a competitive interest rate on the FD booked cash withdrawal up to  of the FD a savings bank account with an interest rate of up to  and much more The rewards program is a major perk and you get points for regular purchases and x reward points on all online spends except online purchases made on education insurance utilities including BillsPay and Wallet load This SuperCard also offers an emergency advance for up to  days at no processing fee Whats more with  reward points you can make down payments with these points at partner stores on the EMI Network Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard reward points on spending Rs  within  days The SuperCard credit limit is  of your FD amount Withdraw up to  of the FD amount at any ATM and pay no interest for up to  days complimentary domestic airport lounge accesses in a year  per quarter Get Rs  monthly fuel surcharge waiver at all petrol pumps Use rewards points to pay down payments at Bajaj Finserv partner stores Enjoy  cashback for making down payments at partner stores Spend Rs  in a year and get next years annual fee of Rs  waived off Get  reward point for spending Rs  and x rewards points for online purchases Additional reward points for availing a consumer durable loan from Bajaj Finserv Convert purchases over Rs  into easy EMIs Get a loan for up to  days at a nominal interest rate Monthly  offer up to Rs  when you book a ticket on BookMyShow Tap your card to make fast and hasslefree transactions on payments up to Rs All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance reach us on the if you are using your mobile phone prefix your citys STD code to the number You can also email us at You will get a link on your registered mobile number to open a Digisaver account once you apply for the SuperCard The credit card will get cancelled if you withdraw the FD at any point You must book an FD of at least Rs  to get the SuperCard Click on the link received to open a savings bank account go to the FD payment page and check the details of the FD before you invest The interest is credited to the savings account and you can choose the payout frequency from the options offered The virtual debit card will be available in MoBank App within  hours of creating the Digisaver account The FD amount will be reinvested automatically The credit limit will be equal to the FD deposited The cash limit is  of the credit limit No the credit card FD and Digisaver account cannot be created on behalf of a rd party Failing to pay within  days will result in the card getting blocked and the outstanding amount will be recovered from the FD No Digisaver account comes with a virtual debit card with no annual charges You can apply for a physical debit card through the MoBank App This card can be used for online shopping recharges merchant outlets or when paying bills Access details about the virtual debit card through the MoBank App This card can be used to meet credit needs get cash from ATMs borrow a loan and convert purchases into easy EMIs This makes it a SuperCard When you withdraw cash from ATMs with a SuperCard you pay no interest for up to  days only a flat  processing fee is charged This makes cash withdrawals inexpensive With a SuperCard you can avail an emergency loan for  months once a year The sanction is based on your cash limit The InControl features ensure safety as you can control the usage of your card through the mobile app You can avail cashback offers deals at Bajaj Finserv partner stores No Cost EMI financing and much more with the SuperCard A Card members get a welcome gift voucher worth Rs   cashback on grocery spends along with the industry st features Gift voucher worth Rs  on spending Rs  in a year Assuming spend of Rs  Gift Voucher worth Rs If you have any queries call us at    or email us at You must be between  and  years of age Conditions apply
Platinum ShopGain SuperCard,rbl-bank-platinum-shopgain-supercard,The Bajaj Finserv RBL Bank Platinum ShopGain SuperCard is a truly unique credit card designed to reward every purchase you make using it Its reward program is excellent as it gives you  reward points for spending Rs  lakh annually with an additional  points redeemable on every additional lakh You get x reward points on all online purchases except for those made on education insurance utilities including BillsPay and Wallet load Besides this it is a smart choice as it has other benefits too For instance you can have the annual fee waived off by spending Rs  lakh and above annually It also has the  free offer on movie tickets booked on BookMyShow and offers complimentary airport lounge access  times a year Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard Get a bonus of  reward points on spending Rs  within  days Pay a joining and annual fee of Rs  each Get  reward points for spending Rs  lakh in a year Get  movie ticket up to Rs  on BookMyShow once a month Avail  complementary domestic airport lounge accesses in a year  per quarter Get  reward points for every Rs  you spend Get  reward points for spending Rs  online up to  reward points Monthly waiver of Rs  on fuel surcharge Use the SuperCard and save over Rs  annually on your expenses All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance reach us on the if you are using your mobile phone prefix your citys STD code to the number You can also email us at With the power of  cards in  it can fund dailymonthly credit needs address urgent cash needs and convert purchases into easy EMIs Features like robust security emergency loan on cash limit and interestfree ATM withdrawals for up to  days set it apart from the rest Cash withdrawals are inexpensive as you pay no interest for up to  days You only pay a flat  processing fee With a SuperCard you can take an emergency loan against the cash limit and repay over  months at a nominal rate The SuperCard comes with a feature called InControl to help you monitor the usage of your card through the mobile app With the Bajaj Finserv RBL Bank SuperCard you can avail cashback discounts offers at Bajaj Finserv partner stores No Cost EMI financing and much more If you have any queries call us at   or email us at Conditions apply                     
Platinum Advantage SuperCard,rbl-bank-platinum-advantage-supercard,The Bajaj Finserv RBL Bank Platinum Advantage SuperCard is a credit card that complements most daily spends with ease Whether you are shopping buying movie tickets paying for cab or fuel it makes every transaction better For instance when you book movie tickets on BookMyShow you can avail a  discount up to Rs  on movie tickets up to  times a year Moreover for purchases over Rs  you can convert the costs into easy EMIs Another notable perk is that you can use the reward points you have accumulated when making a down payment This feature is only available to you if you have at least  reward points Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard Get  reward points on spending Rs  within  days Pay a joining fee and annual fee of Rs  each GST Get  discount on BookMyShow up to Rs Get  reward point on every Rs  spent on shopping Convert the cost into easy EMIs on purchases over Rs Get up to Rs  per month as a fuel surcharge waiver Save big with benefits of up to Rs  for using the SuperCard Get up to Rs  cashback on your down payments Make down payments using the accumulated SuperCard reward points All the above charges are subject to change under various marketing programs The card members will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for WorldPlus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance reach us on the if you are using your mobile phone prefix your citys STD code to the number You can also email us at This SuperCard offers EMI facilities interestfree ATM withdrawals emergency advances and attractive deals The benefits of the card go beyond the usual credit card offering and hence it is known as a SuperCard At most of the Bajaj Finserv partner stores you can avail easy EMIs and pay with reward points to make purchases easier A SuperCard is loaded with features that make it a  in  card You can avail a loan withdraw cash and convert purchases into EMIs The Buy Now Pay Later facility allows you to convert your purchases of Rs  and above into easy EMIs The SuperCard comes with a feature called InControl to help you monitor the usage of your card through the mobile app If you have any query call us at   or email us at There is no cash limit on this card It is calculated by adding new EMI debits for the month and previously unpaid EMI debits Know more by reading the Conditions apply                    
Product Information,life-insurance,
FAQs,life-insurance-faqs,
Product Information,life-insurance-protection-plans,
Third Party Bike Insurance,third-party-two-wheeler-insurance,
Add on Cover,two-wheeler-insurance-add-on-covers,
FAQs,two-wheeler-insurance-frequently-asked-questions,
Product Information,life-insurance-investment-plans,
Product Information,life-insurance-retirement-pension-plans,
Wallet Care,wallet-protect-card-protection-insurance-plan,
Price Protection Cover,price-protection-insurance-cover,
Purse Care,purse-care-insurance-policy,
Fraudulent Charges Cover,fraudulent-charges-insurance-cover,
View More,pocket-insurance-plan?title=Assistance,
COVID Protection Cover,covid-19-protection-cover,
Adventure Cover,adventure-sports-insurance-cover,
Dengue Cover,dengue-insurance-policy,
View More,pocket-insurance-plan?title=Health,
Trek Cover,trekking-travel-insurance-policy,
Domestic Holiday Cover,domestic-travel-insurance-policy-plans,
Pilgrimage Cover,pilgrimage-holiday-insurance-plans,
View More,pocket-insurance-plan?title=Travel,
Product Information,vhealth-card,
NIKON,emi-network-nikon-camera,
SONY,emi-network-sony-camera,
TAMRON,emi-network-tamron-lenses,
GOOGLE,emi-network-google-pixel,
LAVA,emi-network-lava-mobiles,
MOTOROLA,emi-network-motorola-mobile-phones,
OPPO,emi-network-oppo-mobile-phones,
TECNO,emi-network-tecno-mobiles,
VIVO,emi-network-vivo-mobile-phones,
POORVIKA MOBILES,emi-network-poorvika-mobiles,
SUPREME MOBILES,emi-network-supreme-mobiles,
B NEW MOBILES,emi-network-bnew-mobiles,
MY G DIGITAL HUB,emi-network-myg,
SS COMMUNICATION,emi-network-ss-communication,
HAPPI MOBILES,emi-network-happi-mobiles,
ZEBRS,emi-network-zebrs,
HAIER,emi-network-haier-washing-machines,
LG,emi-network-lg-washing-machines,
LLOYD,emi-network-lloyd-washing-machines,
ONIDA,emi-network-onida-washing-machine,
WHIRLPOOL,emi-network-whirlpool-washing-machine,
A O SMITH,emi-network-ao-smith,
LG,emi-network-lg-water-purifiers,
ICA,emi-network-ica-courses,
ALLEN CAREER INSTITUTE,emi-network-allen-career-institute,
AAKASH INSTITUTE,emi-network-aakash-institute-neet-iit-jee-coaching,
Pepperfry,shop-online-pepperfry,
Seniority,shop-online-seniority,
Curefit,shop-online-curefit,
DH,shop-online-d2h,
DishTV,shop-online-dishtv,
Make My Trip,shop-online-make-my-trip,
Goibibo,shop-online-goibibo,
Yatra,shop-online-yatra,
Ease My Trip,shop-online-ease-my-trip,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
Apollo Hospitals,lifecare-services-at-apollo-hospitals,
Manipal Hospitals,lifecare-services-at-manipal-hospitals,
Ruby Hall Clinic,emi-network-ruby-hall-clinic,
Casuals,emi-network-mens-fashion-on-emi,
Formals,emi-network-mens-fashion-on-emi,
Traditional,emi-network-mens-fashion-on-emi,
Shoes And More,emi-network-mens-fashion-on-emi,
Sportswear,emi-network-mens-fashion-on-emi,
Sunglasses,emi-network-mens-fashion-on-emi,
Watches,emi-network-mens-fashion-on-emi,
Kids wear,emi-network-mens-fashion-on-emi,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
Fixed Deposits,fixed-deposit,
Mutual Funds,mutual-funds,
Demat Account,open-demat-trading-account-online,
Credit Card,credit-card,
Credit Card Contact Details,rbl-credit-card-contact-details,
Apply Now,apply-for-doctor-loan,
Home Loan for Doctors,home-loan-for-doctors,
Personal Loan for Doctors,personal-loan-for-doctors,
Business Loan for Doctors,business-loan-for-doctors,A loan designed to help your practice thrive Hasslefree and fast the Bajaj Finserv Business Loan for Doctors is a specialised offering that can help fund the expansion of your practice  from purchasing the latest medical equipment and software to training your staff on new procedures Apply today for a business loan for doctors of up to Rs lakh and receive funds in your bank account within  hours
Loan Against Property For Doctors,loan-against-property-for-doctors,Bajaj Finserv Loan Against Property for Doctors is designed to help you get secured highvalue financing for all your needs  from equipping your new nursing home to expanding your clinic space or refinancing your existing home loan Get a loan against property up to Rs crore with approval in just  hours
Indemnity Insurance,professional-indemnity-insurance-policy-for-doctors,
New,professional-indemnity-insurance-policy-for-doctors,
Apply Now,chartered-accountant-loan-application-form,
Home Loan For Chartered Accountants,home-loan-for-chartered-accountants,
Personal Loan For Chartered Accountants,personal-loan-for-chartered-accountants,
Business Loan For Chartered Accountants,business-loan-for-chartered-accountants,
Loan Against Property For Chartered Accountants,loan-against-property-chartered-accountants,
Product Information,bajaj-finserv-wallet-digital-emi-network-card,
Reviews,bajaj-finserv-wallet-reviews,
Contact Us,bajaj-finserv-wallet-contact-us,
Extended Warranty,extended-warranty,
Financial Fitness Report,financial-fitness-report,
Assets Care,asset-care,
Apply Now,chartered-accountant-loan-application-form,
Home Loan For Chartered Accountants,home-loan-for-chartered-accountants,
Personal Loan For Chartered Accountants,personal-loan-for-chartered-accountants,
Business Loan For Chartered Accountants,business-loan-for-chartered-accountants,
Loan Against Property For Chartered Accountants,loan-against-property-chartered-accountants,
Health insurance,health-insurance,
Life Insurance,life-insurance,
Motor Insurance,motor-insurance,
Home Insurance,home-insurance,
Check Pre Approved Offer,check-pre-approved-emi-card-offer,
EMI Network Card,emi-network-emi-card,
How to Apply,emi-network-emi-card-how-to-apply,
Insta EMI Card,insta-emi-network-card-apply-online,
Insurance Offer,check-pre-approved-hdfc_pasa-offers,
Loan Against Property,loan-against-property,
Mortgage Loan,mortgage-loan,
Gold Loan,gold-loan,
Loan Against Fixed Deposit,loan-against-fixed-deposit,
Loan Against Shares,loan-against-shares,
Apply Now,car-loan-balance-transfer-application-form,
New,car-loan-balance-transfer-application-form,
Product Information,car-loan-balance-transfer-and-top-up,
FAQ's,car-loan-balance-transfer-and-top-up-faqs,
Product Information,bajaj-finserv-wallet-digital-emi-network-card,
Reviews,bajaj-finserv-wallet-reviews,
Contact Us,bajaj-finserv-wallet-contact-us,
Check Pre Approved Offer,check-pre-approved-emi-card-offer,
How to Apply,emi-network-emi-card-how-to-apply,
EMI Network Card,emi-network-emi-card,
Insta EMI Card,insta-emi-network-card-apply-online,
Fixed Deposit,fixed-deposit,
Mutual Funds,mutual-funds,
Online Trading,open-demat-trading-account-online,
Insurance Offer,check-pre-approved-hdfc_pasa-offers,
Check Preapproved Offer,check-pre-approved-home-loan-offer,
New,check-pre-approved-home-loan-offer,
PMAY,home-loan-pradhan-mantri-awas-yojana,Housing for All Mission for urban area has been implemented with effect from  to provide central assistance to implementing agencies The Credit Linked Subsidy Scheme is being offered under this mission For Middle Income GroupMIG the interest subsidy will be provided on housing loans for acquisitionconstruction of houses including repurchase For Economically Weaker SectionEWSLower Income GroupLIG the interest subsidy will be provided on housing loans for acquisition construction of house The Credit Linked subsidy would also be available for availed for new construction and addition of rooms kitchen toilet etc to existing dwellings as incremental housing The interest subsidy benefit will be upfront on the principal outstanding The availability and amount of interest subsidy is subject to meeting income criteria as per various categories under the scheme The Details mentioned above are based on the scheme framed by the Government of India under the Pradhan Mantri Awas Yojana PMAYUrban These are subject to change as and when there is a change in the scheme by the Government of India Benefit under this scheme can be availed only for Housing loans offered by Bajaj Housing Finance Limited The Pradhan Mantri Awas Yojana PMAY scheme was launched by the Government of India to boost the affordability of houses against an inflated real estate sector The scheme aims to achieve its objective of Housing for All by  March  the th birth anniversary year of Mahatma Gandhi by constructing  million houses across the nation Based on the areas that it caters to this Yojana has two parts  Urban and Gramin Beneficiaries can apply for PMAY through the following Individuals can visit the official website of the scheme to apply online They need to have a valid Aadhaar Card to apply Beneficiaries can apply for the scheme offline by filling up a form available through Common Service Centre CSC Price of these forms is Rs   GST Those eligible for the scheme can check their name in the by following these few steps Visit the official website Click Search Beneficiary Enter the Aadhaar number Click Show Existing home loan borrowers are eligible for this scheme provided they fulfil all the relevant eligibility criteria Pradhan Mantri Yojana has played a significant role in providing affordable housing The role of this scheme is not limited to making housing accessible and affordable to all irrespective of their financial stability but it has also created ample job opportunities in the real estate sector This scheme along with the inclusion of RERA led to the creation of about  Crore jobs across the nation                              
Home Loan EMI Calculator,home-loan-emi-calculator,
Home Loan Eligibility Calculator,home-loan-eligibility-calculator,
Home Loan Balance Transfer,home-loan-balance-transfer,Transfer the balance of your existing home loan to Bajaj Finserv and get an additional topup loan of a sizable amount Apart from the topup loan that comes free of any enduse restrictions you also gain the benefits of a competitive interest rate and the option to extend your repayment tenor Use our to compute your savings and topup loan eligibility Many borrowers opt to transfer their loan to a new lender to avail of a lower interest rate This is one of the key benefits as a lower interest rate translates to reduced EMIs and a lower interest payable on the loan To know all about the other benefits of a home loan balance transfer read on When you opt for a home loan balance transfer you can negotiate with your new lender for more suitable repayment terms You can also change your repayment to better match your repayment capabilities and goals You can avail of a topup when you transfer your loan The amount is free of enduse restrictions and you can use it to meet any expense right from a renovation project to an exotic vacation Avail of a topup loan up to Rs lakh with a Home Loan Balance Transfer Fill in your personal details Fill in your financial details Fill in your employment details Fill in your existing property details View your loan offer Submit your property details Pay the secure fee online Upload your documents The primary benefit of a home loan balance transfer is a lower rate of interest The facility thus reduces your monthly instalments Also you get to avail a highvalue up to Rs  Lakh Yes it is beneficial Refinancing your home loan helps you avail of a lower rate of interest enabling you to save on the total interest outgo No Refinancing your home loan will not lower your credit score It usually takes around  to  days to switch lenders You can apply for a Home Loan Balance Transfer from Bajaj Finservs official website Provide your personal details financial data employment details and existing property information to view your loan offer Next you have to submit your property details pay the secure fee and upload the relevant documents to apply for the transfer There is no maximum amount that you can transfer Your entire home loan outstanding balance gets transferred to the new lender Yes When you transfer your home loan to Bajaj Finserv you have the option to avail of a highvalue topup amount to meet other financial needs Yes Bajaj Finserv offers applicants the option to extend their repayment tenor Please note that the maximum age at the time of loan maturity cannot exceed  years in the case of salaried individuals and  years in the case of selfemployed individuals No you do not require a guarantor to go ahead with a home loan balance transfer Yes You can transfer your home loan to another person if you are selling your property to that same individual                        
Top Up Loan,top-up-loan,Bajaj Finserv brings Topup Loan as an exclusive financing option for expenses besides the ones covered by the home loan Customers who opt for our balance transfer facility can borrow funds over and above the existing home loan amount It not only speeds up the process of availing additional funding but also saves time Avail topup loan up to Rs  Lakh with a Home Loan Balance Transfer Whether to improve your homes exterior and interior or carry out house renovation and repair topup on Home Loan Balance Transfer becomes the ultimate financing option You can also utilise this topup amount to meet other bigticket expenses such as funding your childs overseas education marriage costs expenses for travelling abroad and many more Transfer your Home loan balance to Bajaj Finserv and get topup loan up to Rs  Lakh with it Its attractive features and benefits make it a compelling funding option Bajaj Finserv offers the topup facility at a lower rate of interest compared to your existing lender Reduce the burden of interest payment and manage finances effectively over time with this facility Availing a Top up Loan is easy and requires you to furnish no extra documents for the approval Bajaj Finserv offers a highvalue topup amount if the propertys value is high Depending on this value the loan amount can be more than the initial Home Loan availed While you can meet home construction and renovation expenses with the topup amount availed on you can also use it to meet any other necessary financing requirements as well Track this loan amount through online account management on Bajaj Finservs digital customer portal If you wish to repay the loan amount before the tenor ends use our foreclosure and partprepayment facility Under Section  of the Income Tax Act you can also claim income tax deduction up to Rs  on the payable Top up Loan interest You also get on Top up Loan of up to Rs  on the interest under Section EE of the Income Tax Act All customers who choose to go for our balance transfer facility can avail the top up amount by meeting simple top up Home Loan eligibility and documentation Furnish the documents required for top up Home Loan Get the lowest Top up Loan interest rates in India and other transparent fees with Bajaj Finserv Know the interest rates to calculate the monthly outflow of cash in the form of EMI to repay the top up amount You can calculate it with our online tool Bajaj Finserv offers the in India thus making repayment easy and affordable Loan up to  lakhs for new customers Also know the transparent foreclosure and partprepayment charges on this loan so that you can plan the repayment better If you are an individual borrower whose Housing Loan interest rate is calculated on floating rates you do not need to pay any partprepayment and foreclosure charges Fill up the to complete the application process Use our to calculate the loan amount you need to apply for and meet your financial needs with ease                          
FAQs,home-loan-faq-questions,
Product Information,loan-against-shares,
FAQs,loan-against-shares-faq-questions,
Reviews,loan-against-shares-reviews,
Product Information,lease-rental-discounting,
FAQs,lease-rental-discounting-faqs,
Reviews,lease-rental-discounting-reviews,
Product Information,travel-insurance,
Product Information,professional-indemnity-insurance-policy-for-doctors,
Eyewear Assure,eyewear-assure,
Watch Secure,watch-insurance-cover,
Washing Machine Insurance,washing-machine-insurance,
View More,pocket-insurance-plan?title=Lifestyle,
ELGI ULTRA,emi-network-elgiultra-kitchen-appliances,
HAFELE,emi-network-hafele-india,
HAIER,emi-network-haier-refrigerator,
HITACHI,emi-network-hitachi-refrigerator,
LG,emi-network-lg-refrigerator,
WHIRLPOOL,emi-network-whirlpool-refrigerator,
APOLLO HOSPITALS,emi-network-apollo-hospitals,
RUBY HALL CLINIC,emi-network-ruby-hall-clinic,
VLCC,emi-network-vlcc,
DR BATRA,emi-network-lifecare-services-at-drbatra,
RICHFEEL,emi-network-richfeel,
NARAYANA NETHRALAYA,emi-network-narayana-nethralaya,
SUBURBAN DIAGNOSTICS,emi-network-suburban-diagnostics,
OASIS FERTILITY,emi-network-oasis-fertility,
SABKA DENTIST,emi-network-sabka-dentist,
SONY,emi-network-sony-audio-systems,
ATHOME,emi-network-at-home,
HOME TOWN,emi-network-home-town,
LIBRA MATTRESS,emi-network-libra-mattress,
